Station_ID	Tide_Amp (ft)	calendar_year	min_date	max_date	90th%Upper_water_level (ft NAVD88)	10%thLower_water_level (ft NAVD88)	avg_water_level (ft NAVD88)	avg_flooding (ft)	90%thUpper_flooding (ft)	10%thLower_flooding (ft)	GEOID	std_deviation_water_level(ft NAVD88)	std_deviation_avg_flooding (ft)
BA01-10	0.1845729	2004	1/1/2004 12:00:00 AM	12/31/2004 11:00:00 PM	1.62	0.23	0.98	-0.15	0.49	-0.9	GEOID99   	0.56	0.56
BA01-10	0.1973742	2005	1/1/2005 12:00:00 AM	12/31/2005 11:00:00 PM	1.58	0.26	0.98	-0.15	0.45	-0.87	GEOID99   	0.55	0.55
BA01-10	0.1850334	2008	1/1/2008 12:00:00 AM	12/31/2008 11:00:00 PM	1.76	0.41	1.14	0.01	0.63	-0.72	GEOID99   	0.63	0.63
BA01-10	0.1830399	2009	1/1/2009 12:00:00 AM	12/31/2009 11:00:00 PM	1.94	0.44	1.23	0.1	0.81	-0.69	GEOID99   	0.57	0.57
BA01-10	0.2013123	2010	1/1/2010 12:00:00 AM	12/31/2010 11:00:00 PM	1.84	0.2	1.06	-0.07	0.71	-0.93	GEOID99   	0.63	0.63
BA01-10	0.2071775	2011	1/1/2011 12:00:00 AM	12/31/2011 11:00:00 PM	1.51	0.31	0.97	-0.16	0.38	-0.82	GEOID99   	0.54	0.54
BA01-10	0.2136725	2012	1/1/2012 12:00:00 AM	12/31/2012 11:00:00 PM	1.7	0.65	1.18	0.05	0.57	-0.48	GEOID99   	0.46	0.46
BA01-14	0.006546414	2000	1/1/2000 12:00:00 AM	12/31/2000 11:00:00 PM	1.18	0.33	0.81	0.05	0.37	-0.31	GEOID99   	0.32	0.26
BA01-14	0.004852026	2001	1/1/2001 12:00:00 AM	12/31/2001 11:00:00 PM	1.33	0.7	1.02	0.2	0.43	-0.01	GEOID99   	0.25	0.19
BA01-14	0.008240403	2002	1/1/2002 12:00:00 AM	12/31/2002 11:00:00 PM	1.6	0.86	1.22	0.2	0.35	0.07	GEOID99   	0.38	0.12
BA01-14	0.004606784	2003	1/1/2003 12:00:00 AM	12/31/2003 11:00:00 PM	1.65	0.87	1.25	0.15	0.32	-0.13	GEOID99   	0.3	0.16
BA01-14	0.004534843	2004	1/1/2004 12:00:00 AM	12/31/2004 11:00:00 PM	1.93	1.09	1.46	0.24	0.31	0.11	GEOID99   	0.36	0.13
BA01-14	0.004121351	2005	1/1/2005 12:00:00 AM	12/31/2005 11:00:00 PM	2.04	1.11	1.52	0.18	0.53	-0.23	GEOID99   	0.44	0.3
BA01-14	0.004928499	2006	1/1/2006 12:00:00 AM	12/31/2006 11:00:00 PM	1.61	0.79	1.19	-0.03	0.4	-0.42	GEOID99   	0.31	0.3
BA01-14	0.00204211	2007	1/1/2007 12:00:00 AM	12/31/2007 11:00:00 PM	1.89	1.32	1.64	0.2	0.38	-0.03	GEOID99   	0.22	0.16
BA01-14	0.003255878	2008	1/1/2008 12:00:00 AM	12/31/2008 11:00:00 PM	2.3	1.3	1.88	0.45	0.88	-0.01	GEOID99   	0.42	0.38
BA01-14	0.007089245	2009	1/1/2009 12:00:00 AM	12/31/2009 11:00:00 PM	2.12	1.28	1.71	0.4	0.76	0.02	GEOID99   	0.34	0.28
BA01-14	0.003283771	2010	1/1/2010 12:00:00 AM	12/31/2010 11:00:00 PM	2.3	1.3	1.73	-0.01	0.44	-0.41	GEOID99   	0.42	0.35
BA01-14	0.004760481	2011	1/1/2011 12:00:00 AM	12/31/2011 11:00:00 PM	1.78	1.22	1.5	-0.25	-0.01	-0.5	GEOID99   	0.31	0.25
BA01-15	0.1087597	2006	1/1/2006 12:00:00 AM	12/31/2006 11:00:00 PM	1.27	0.2	0.75	0.15	0.55	-0.26	GEOID99   	0.45	0.33
BA01-15	0.09865648	2007	1/1/2007 12:00:00 AM	12/31/2007 11:00:00 PM	1.63	0.3	0.95	0.26	0.67	-0.09	GEOID99   	0.5	0.3
BA01-15	0.0896734	2008	1/1/2008 12:00:00 AM	12/31/2008 11:00:00 PM	1.83	0.49	1.21	0.38	0.81	-0.09	GEOID99   	0.58	0.35
BA01-15	0.09478778	2010	1/1/2010 12:00:00 AM	12/31/2010 11:00:00 PM	1.85	0.17	1.05	0.42	1.08	-0.19	GEOID99   	0.65	0.5
BA01-15	0.1128607	2011	1/1/2011 12:00:00 AM	12/31/2011 11:00:00 PM	1.53	0.25	0.97	0.19	0.67	-0.29	GEOID99   	0.56	0.36
BA01-15	0.1128054	2012	1/1/2012 12:00:00 AM	12/31/2012 11:00:00 PM	1.73	0.53	1.16	0.25	0.71	-0.21	GEOID99   	0.52	0.36
BA02-53	0.2004248	1998	1/1/1998 12:00:00 AM	12/31/1998 11:00:00 PM	1.55	0.14	0.84	-0.51	0.2	-1.22	GEOID99   	0.6	0.6
BA02-53	0.2198228	1999	1/1/1999 12:00:00 AM	12/31/1999 11:00:00 PM	1.26	0.22	0.73	-0.63	-0.1	-1.14	GEOID99   	0.42	0.42
BA02-53	0.2605469	2001	1/1/2001 12:00:00 AM	12/31/2001 11:00:00 PM	1.34	0.17	0.82	-0.7	-0.18	-1.35	GEOID99   	0.49	0.49
BA02-53	0.2582139	2002	1/1/2002 12:00:00 AM	12/31/2002 11:00:00 PM	1.61	0.15	0.93	-0.59	0.08	-1.37	GEOID99   	0.6	0.6
BA02-53	0.2825208	2003	1/1/2003 12:00:00 AM	12/31/2003 11:00:00 PM	1.51	0.15	0.87	-0.46	0.19	-1.21	GEOID99   	0.52	0.54
BA02-54	0.1480894	1998	1/1/1998 12:00:00 AM	12/31/1998 11:00:00 PM	1.73	0.47	1.08	-0.1	0.55	-0.71	GEOID99   	0.53	0.53
BA02-54	0.1690917	1999	1/1/1999 12:00:00 AM	12/31/1999 11:00:00 PM	1.42	0.47	0.95	-0.23	0.23	-0.71	GEOID99   	0.36	0.36
BA02-54	0.1283709	2001	1/1/2001 12:00:00 AM	12/31/2001 11:00:00 PM	1.45	0.51	1.01	-0.13	0.3	-0.65	GEOID99   	0.39	0.39
BA02-54	0.1510472	2003	1/1/2003 12:00:00 AM	12/31/2003 11:00:00 PM	1.62	0.39	1.08	0.22	0.77	-0.49	GEOID99   	0.46	0.48
BA02-55	0.1374973	1998	1/1/1998 12:00:00 AM	12/31/1998 11:00:00 PM	1.62	0.44	1.05	0.1	0.67	-0.51	GEOID99   	0.46	0.46
BA02-55	0.1481864	1999	1/1/1999 12:00:00 AM	12/31/1999 11:00:00 PM	1.38	0.28	0.84	-0.02	0.49	-0.53	GEOID99   	0.43	0.4
BA02-55	0.09193243	2001	1/1/2001 12:00:00 AM	12/31/2001 11:00:00 PM	1.18	0.17	0.74	0.06	0.5	-0.5	GEOID99   	0.41	0.41
BA02-55	0.1202975	2003	1/1/2003 12:00:00 AM	12/31/2003 11:00:00 PM	1.37	0.21	0.84	-0.26	0.26	-0.84	GEOID99   	0.44	0.43
BA02-56	0.1044381	1998	1/1/1998 12:00:00 AM	12/31/1998 11:00:00 PM	1.88	0.73	1.33	0.13	0.68	-0.47	GEOID99   	0.52	0.52
BA02-56	0.1129695	1999	1/1/1999 12:00:00 AM	12/31/1999 11:00:00 PM	1.55	0.53	1.05	0.06	0.57	-0.44	GEOID99   	0.41	0.39
BA02-56	0.1025781	2000	1/1/2000 12:00:00 AM	12/31/2000 11:00:00 PM	1.36	0.31	0.86	0.05	0.56	-0.49	GEOID99   	0.4	0.39
BA02-56	0.07418213	2001	1/1/2001 12:00:00 AM	12/31/2001 11:00:00 PM	1.42	0.35	0.98	0.17	0.61	-0.45	GEOID99   	0.44	0.44
BA02-56	0.1006433	2002	1/1/2002 12:00:00 AM	12/31/2002 11:00:00 PM	1.84	0.46	1.21	0.4	1.03	-0.36	GEOID99   	0.57	0.57
BA02-56	0.1208537	2003	1/1/2003 12:00:00 AM	12/31/2003 11:00:00 PM	1.62	0.4	1.06	-0.09	0.46	-0.68	GEOID99   	0.48	0.46
BA02-56	0.1256285	2004	1/1/2004 12:00:00 AM	12/31/2004 11:00:00 PM	1.74	0.46	1.1	-0.06	0.58	-0.7	GEOID99   	0.52	0.52
BA02-56	0.1386554	2005	1/1/2005 12:00:00 AM	12/31/2005 11:00:00 PM	1.48	0.35	0.98	-0.18	0.32	-0.82	GEOID99   	0.43	0.43
BA02-56	0.117957	2006	1/1/2006 12:00:00 AM	12/31/2006 11:00:00 PM	1.36	0.38	0.89	-0.27	0.2	-0.78	GEOID99   	0.4	0.4
BA02-56	0.1521486	2007	1/1/2007 12:00:00 AM	12/31/2007 11:00:00 PM	1.6	0.49	1.08	-0.08	0.44	-0.67	GEOID99   	0.41	0.41
BA02-56	0.1351678	2009	1/1/2009 12:00:00 AM	12/31/2009 11:00:00 PM	1.92	0.81	1.34	0.18	0.76	-0.35	GEOID99   	0.46	0.46
BA02-56	0.1519794	2010	1/1/2010 12:00:00 AM	12/31/2010 11:00:00 PM	1.95	0.39	1.21	0.05	0.79	-0.77	GEOID99   	0.6	0.61
BA02-56	0.1759635	2011	1/1/2011 12:00:00 AM	12/31/2011 11:00:00 PM	1.65	0.48	1.13	-0.03	0.49	-0.68	GEOID99   	0.53	0.53
BA02-56	0.1450943	2012	1/1/2012 12:00:00 AM	12/31/2012 11:00:00 PM	1.65	0.39	1.06	-0.1	0.49	-0.77	GEOID99   	0.5	0.5
BA02-57	0.1830938	1998	1/1/1998 12:00:00 AM	12/31/1998 11:00:00 PM	1.65	0.35	1.01	0.2	0.84	-0.46	GEOID99   	0.56	0.56
BA02-57	0.193961	1999	1/1/1999 12:00:00 AM	12/31/1999 11:00:00 PM	1.44	0.38	0.92	0.11	0.62	-0.43	GEOID99   	0.42	0.42
BA02-57	0.1764698	2000	1/1/2000 12:00:00 AM	12/31/2000 11:00:00 PM	1.34	0.15	0.77	-0.02	0.56	-0.64	GEOID99   	0.46	0.46
BA02-57	0.1747181	2001	1/1/2001 12:00:00 AM	12/31/2001 11:00:00 PM	1.35	0.16	0.84	0.09	0.59	-0.59	GEOID99   	0.49	0.49
BA02-57	0.1868075	2002	1/1/2002 12:00:00 AM	12/31/2002 11:00:00 PM	1.48	0.19	0.89	0.14	0.72	-0.56	GEOID99   	0.54	0.54
BA02-57	0.1847742	2003	1/1/2003 12:00:00 AM	12/31/2003 11:00:00 PM	1.6	0.21	0.98	0.15	0.77	-0.58	GEOID99   	0.54	0.53
BA02-57	0.1931427	2004	1/1/2004 12:00:00 AM	12/31/2004 11:00:00 PM	1.47	0.38	0.95	0.12	0.64	-0.45	GEOID99   	0.48	0.48
BA02-57	0.2179725	2005	1/1/2005 12:00:00 AM	12/31/2005 11:00:00 PM	1.56	0.36	1.03	0.2	0.73	-0.47	GEOID99   	0.54	0.54
BA02-57	0.2199245	2006	1/1/2006 12:00:00 AM	12/31/2006 11:00:00 PM	1.47	0.16	0.84	0.01	0.64	-0.67	GEOID99   	0.54	0.54
BA02-57	0.2039329	2007	1/1/2007 12:00:00 AM	12/31/2007 11:00:00 PM	1.43	0.22	0.87	0.04	0.6	-0.61	GEOID99   	0.47	0.47
BA02-57	0.2098954	2008	1/1/2008 12:00:00 AM	12/31/2008 11:00:00 PM	1.87	0.47	1.16	0.33	1.04	-0.36	GEOID99   	0.64	0.64
BA02-57	0.2196445	2009	1/1/2009 12:00:00 AM	12/31/2009 11:00:00 PM	1.8	0.54	1.17	0.34	0.97	-0.29	GEOID99   	0.51	0.51
BA02-57	0.2409494	2010	1/1/2010 12:00:00 AM	12/31/2010 11:00:00 PM	1.9	0.3	1.14	0.31	1.07	-0.53	GEOID99   	0.61	0.61
BA02-57	0.2678268	2011	1/1/2011 12:00:00 AM	12/31/2011 11:00:00 PM	1.55	0.38	1.03	0.2	0.72	-0.45	GEOID99   	0.53	0.53
BA02-57	0.2539699	2012	1/1/2012 12:00:00 AM	12/31/2012 11:00:00 PM	1.76	0.6	1.22	0.39	0.93	-0.23	GEOID99   	0.52	0.52
BA02-58	0.1811986	1998	1/1/1998 12:00:00 AM	12/31/1998 11:00:00 PM	1.35	0.09	0.73	-0.3	0.31	-0.94	GEOID99   	0.56	0.56
BA02-58	0.1915712	1999	1/1/1999 12:00:00 AM	12/31/1999 11:00:00 PM	1.13	0.07	0.58	-0.45	0.09	-0.96	GEOID99   	0.42	0.42
BA02-58	0.2119272	2000	1/1/2000 12:00:00 AM	12/31/2000 11:00:00 PM	0.98	-0.2	0.41	-0.62	-0.05	-1.23	GEOID99   	0.45	0.45
BA02-58	0.2257737	2001	1/1/2001 12:00:00 AM	12/31/2001 11:00:00 PM	1.01	-0.21	0.47	-0.56	-0.03	-1.24	GEOID99   	0.49	0.49
BA02-59	0.1532047	1998	1/1/1998 12:00:00 AM	10/12/1998 12:00:00 PM	1.53	0.23	0.91	0.26	0.88	-0.42	GEOID99   	0.57	0.57
BA03C-16	0.1328876	2000	1/1/2000 12:00:00 AM	12/31/2000 11:00:00 PM	2	0.46	1.29	0.31	1.02	-0.52	GEOID99   	0.58	0.58
BA03C-16	0.1068501	2001	1/1/2001 12:00:00 AM	12/31/2001 11:00:00 PM	1.83	0.41	1.24	0.26	0.85	-0.57	GEOID99   	0.57	0.57
BA03C-16	0.07677564	2002	1/1/2002 12:00:00 AM	12/31/2002 11:00:00 PM	2.09	0.53	1.37	0.39	1.11	-0.46	GEOID99   	0.65	0.65
BA03C-16	0.08753664	2003	1/1/2003 12:00:00 AM	12/31/2003 11:00:00 PM	1.93	0.62	1.3	0.32	0.95	-0.36	GEOID99   	0.52	0.52
BA03C-16	0.06909008	2004	1/1/2004 12:00:00 AM	12/31/2004 11:00:00 PM	1.77	0.5	1.12	0.14	0.79	-0.48	GEOID99   	0.5	0.51
BA03C-16	0.09849062	2005	1/1/2005 12:00:00 AM	12/31/2005 11:00:00 PM	1.52	0.36	1	0.02	0.54	-0.62	GEOID99   	0.53	0.53
BA03C-16	0.1281003	2006	1/1/2006 12:00:00 AM	12/31/2006 11:00:00 PM	1.35	0.18	0.8	-0.18	0.37	-0.8	GEOID99   	0.47	0.47
BA03C-16	0.1121202	2007	1/1/2007 12:00:00 AM	12/31/2007 11:00:00 PM	1.58	0.44	0.99	0.01	0.6	-0.54	GEOID99   	0.45	0.45
BA03C-16	0.09395278	2008	1/1/2008 12:00:00 AM	12/31/2008 11:00:00 PM	1.85	0.66	1.32	0.34	0.87	-0.32	GEOID99   	0.58	0.58
BA03C-16	0.1333011	2009	1/1/2009 12:00:00 AM	12/31/2009 11:00:00 PM	1.81	0.58	1.18	0.2	0.83	-0.4	GEOID99   	0.5	0.5
BA03C-60	0.168045	2000	1/1/2000 12:00:00 AM	12/31/2000 11:00:00 PM	2.01	0.41	1.21	0.07	0.87	-0.73	GEOID99   	0.65	0.65
BA03C-60	0.1288365	2001	1/1/2001 12:00:00 AM	12/31/2001 11:00:00 PM	1.55	0.23	0.94	-0.2	0.41	-0.91	GEOID99   	0.56	0.56
BA03C-60	0.118924	2002	1/1/2002 12:00:00 AM	12/31/2002 11:00:00 PM	1.57	0.08	0.93	-0.21	0.43	-1.06	GEOID99   	0.6	0.6
BA03C-60	0.107732	2003	1/1/2003 12:00:00 AM	12/31/2003 11:00:00 PM	1.53	0.46	1.03	-0.11	0.39	-0.68	GEOID99   	0.44	0.44
BA03C-60	0.1625714	2004	1/1/2004 12:00:00 AM	12/31/2004 11:00:00 PM	1.69	0.38	0.98	0.75	1.46	0.15	GEOID99   	0.57	0.57
BA03C-60	0.1214371	2005	1/1/2005 12:00:00 AM	12/31/2005 11:00:00 PM	1.6	0.33	1.03	-0.11	0.46	-0.81	GEOID99   	0.55	0.55
BA03C-60	0.135112	2006	1/1/2006 12:00:00 AM	12/31/2006 11:00:00 PM	1.43	0.22	0.88	-0.26	0.29	-0.92	GEOID99   	0.49	0.49
BA03C-60	0.1342884	2007	1/1/2007 12:00:00 AM	12/31/2007 11:00:00 PM	1.71	0.41	1.06	-0.08	0.57	-0.73	GEOID99   	0.5	0.5
BA03C-61	0.1605166	2000	1/1/2000 12:00:00 AM	12/31/2000 11:00:00 PM	1.28	-0.12	0.67	0.44	1.05	-0.35	GEOID99   	0.56	0.56
BA03C-61	0.1610481	2001	1/1/2001 12:00:00 AM	12/31/2001 11:00:00 PM	1.38	0.11	0.84	0.61	1.15	-0.12	GEOID99   	0.52	0.52
BA03C-61	0.161817	2002	1/1/2002 12:00:00 AM	12/31/2002 11:00:00 PM	1.58	0.17	0.97	0.74	1.35	-0.06	GEOID99   	0.55	0.55
BA03C-61	0.1643759	2003	1/1/2003 12:00:00 AM	12/31/2003 11:00:00 PM	1.63	0.32	1.03	0.8	1.4	0.09	GEOID99   	0.52	0.52
BA03C-61	0.1625714	2004	1/1/2004 12:00:00 AM	12/31/2004 11:00:00 PM	1.69	0.38	0.98	0.75	1.46	0.15	GEOID99   	0.57	0.57
BA03C-61	0.1806265	2005	1/1/2005 12:00:00 AM	12/31/2005 11:00:00 PM	1.38	0.15	0.83	0.6	1.15	-0.08	GEOID99   	0.48	0.48
